Event ID,city,latitude,longitude
394,Muqdadiyah,33.953165,44.921904
395,Zhari district,31.657178,65.424783
396,Dhangethi,3.607756,72.955585
397,Srinagar,34.083739,74.789903
398,Bacuag district,9.599928,125.633548
399,La Libertad,10.026105,123.230825
400,Fallujah,33.349159,43.784197
401,Fallujah,33.349159,43.784197
402,Istanbul,41.106178,28.689863
403,Manang Damlam,6.643983,101.606264
404,Hoshab,26.00862,63.891228
405,Balkatar,29.313537,64.009634
406,Quetta,30.20082,66.994352
407,Tolkomari,10.631559,14.658782
408,Shaykh Uthman,12.86714,44.983957
409,Az Zuhrah,15.723243,42.997228
410,Jadidat ash Shatt,33.843044,44.521936
411,Tarmiyah,33.66969,44.381316
412,Baghdad,33.303567,44.371771
413,Madain,33.100528,44.584493
414,Baghdad,33.303567,44.371771
415,Abu Sayda,33.926588,44.772063
416,Beit Einun,31.566133,35.129595
417,Anar Dara district,33.013023,61.226543
418,Madurai,9.90565,78.109626
419,Baghdad,33.303567,44.371771
420,Muqdadiyah,33.953165,44.921904
421,Muqdadiyah,33.953165,44.921904
422,Muqdadiyah,33.953165,44.921904
423,Muqdadiyah,33.953165,44.921904
424,Muqdadiyah,33.953165,44.921904
425,Muqdadiyah,33.953165,44.921904
426,Muqdadiyah,33.953165,44.921904
427,Al-Asiri,33.897803,44.813111
428,Shaha Ali,33.773349,45.14945
429,Taji,33.540671,44.251268
430,Tikrit,34.621521,43.668375
431,Gaya district,24.795452,84.999431
432,Saadiyat,33.692992,35.426272
433,Belfast,54.607711,-5.95621
434,Ayat,29.62302,31.259934
435,Pipghati,24.533555,84.906028
436,Jalalabad,34.41712,70.449594
437,Lashkar Gah,31.600629,64.369652
438,Quetta,30.20082,66.994352
439,Pa Rai,6.681064,101.220998
440,Islamabad,33.67164,73.056065
441,El Shiil,5.185013,46.825284
442,Unknown,31.853462,22.534731
443,Kech district,26.162244,63.008164
444,Kouyape,11.020321,13.966398
445,Kolofata,11.162543,14.013976
446,Opira,0.816804,29.60425
447,Opira,0.816804,29.60425
448,Adam Kala,31.829949,64.568109
449,Ghorak district,32.032367,65.134834
450,Shaykh Uthman,12.86714,44.983957
451,Yabar,13.71123,44.721627
452,Zafar,13.714057,44.723055
453,Waziiyah district,13.168694,43.741907
454,Unknown,13.413117,43.637531
455,Baghdad,33.303567,44.371771
456,Baghdad,33.303567,44.371771
457,Baghdad,33.303567,44.371771
458,Baghdad,33.303567,44.371771
459,Husseiniyah,33.548307,44.415735
460,Latifiyah,32.982932,44.361597
461,Al-Fathah,35.064871,43.551614
462,Unknown,31.552748,34.508943
463,Silkigre,25.513607,90.204298
464,Korgo,13.965858,23.677052
465,Bijapur district,18.796075,80.821506
466,Garjak,37.201571,70.610402
467,Shir Kala,33.225902,67.994949
468,Mandali,33.744999,45.545618
469,Abu Ghraib,33.31065,44.038206
470,Jagatsinghpur district,20.234637,86.382488
471,Puri,19.809053,85.848946
472,Alon Shvut,31.653435,35.125639
473,Unknown,34.966362,69.608192
474,Jakarta,-6.21038,106.845386
475,Jakarta,-6.187549,106.823085
476,Jakarta,-6.187549,106.823085
477,At Tumah,31.16983,34.087422
478,Sheikh Zuweid,31.212225,34.117064
479,Arish,31.126646,33.800864
480,Cinar,37.724137,40.413484
481,Midyat,37.416363,41.373253
482,Unknown,31.853462,22.534731
483,Unknown,30.749721,20.216595
484,Maradah,29.202868,19.217541
485,Maradah,29.202868,19.217541
486,Pagangan,7.128146,124.590444
487,Mirasol,7.350978,124.555334
488,Wadi Kahlia,31.200335,16.584611
489,Bin Jawad,30.801621,18.086216
490,Nawfaliyah,30.780207,17.837408
491,Um al-Qandil,30.907333,17.749747
492,Solani,25.849529,63.547325
493,Tall Kusaybah,34.533753,43.483738
494,Tall Kusaybah,34.533753,43.483738
495,Goshaninuagon,19.528574,84.82515
496,Taji,33.540671,44.251268
497,Baghdad,33.303567,44.371771
498,Baghdad,33.303567,44.371771
499,Mukashafah,34.36509,43.745219
500,Alam,34.705949,43.697074
501,Asira ash-Shamaliya,32.251412,35.269364
502,Beit Einun,31.564108,35.126918
503,Karachi,24.891116,67.143312
504,Delhi,28.585837,77.153335
505,Bargi,18.878271,83.168806
506,Safia,11.276934,25.144072
507,Arghandab district,31.735336,65.652715
508,Donki Kheir,11.451127,25.154544
509,Manoligao,8.939052,125.247994
510,Arsal,34.184603,36.424013
511,Samastipur district,25.862459,85.781044
512,Aden,12.849085,45.037275
513,Unknown,36.079561,64.905955
514,Ouagadougou,12.37368,-1.53698
515,Ouagadougou,12.37368,-1.53698
516,Djibo,14.093442,-1.634078
517,Ceel Cadde,3.03626,41.867161
518,Unknown,31.853462,22.534731
519,Khakrez district,32.017785,65.530071
520,Peshawar,34.006004,71.537431
521,Tonka,16.137027,-3.745111
522,Unknown,19.485287,-3.397166
523,Dioura,14.824994,-5.251649
524,Baghdad,33.303567,44.371771
525,Tin Abao,15.002222,-0.349444
526,Panipat,29.394529,76.970315
527,New York City,40.697133,-73.931352
528,Goniri,11.485018,12.311891
529,Kanoma,12.230719,6.298021
530,Warri South-West district,5.612642,5.201144
531,Cizre,37.331886,42.185903
532,Unknown,34.156857,70.604788
533,Charikar,35.018159,69.168991
534,Wageasi,25.898768,90.487362
535,Qayyarah,35.798129,43.294178
536,Baghdad,33.303567,44.371771
537,Yusufiyah,33.07835,44.254721
538,Madain,33.100528,44.584493
539,Unknown,32.559761,41.919647
540,Baghdad,33.303567,44.371771
541,Bijapur district,18.796075,80.821506
542,Pir Koh,29.143866,69.099786
543,Unknown,5.420994,5.927642
544,Gulab Taing,33.748807,74.878347
545,Kondatikarapada,18.880337,83.167584
546,Tawilah,13.513827,24.869076
547,Unknown,12.752948,44.881515
548,Awpashak,31.82012,64.567716
549,Malgir,31.749787,64.442311
550,Adi Bagh,31.81468,64.548236
551,Ramadi,33.420949,43.295662
552,Baghdad,33.303567,44.371771
